Borough,Crime Rate,Total Crime,Population,Latitude,Longitude
ADALAR,0.006,109,17760,40.8619,29.1208
AVCILAR,0.005,1122,233749,40.988,28.717
BAGCILAR,0.004,1569,355384,41.045,28.8338
BAHCELIEVLER,0.006,2684,478623,40.9976,28.85
BAKIRKOY,0.007,1528,208398,40.9835,28.8679
BAYRAMPASA,0.007,1633,246006,41.0477,28.8992
BESIKTAS,0.015,2812,190813,41.0469,29.0078
BEYKOZ,0.005,911,172291,41.0936,29.0879
BEYOGLU,0.017,4092,231900,41.03,28.9748
BUYUKCEKMECE,0.022,799,35860,41.0198,28.5664
CATALCA,0.008,127,15779,41.1428,28.4616
ESENLER,0.005,1765,380709,41.054,28.8722
EYUP,0.005,1273,235116,41.0547,28.9343
FATIH,0.016,7479,459143,41.0145,28.9486
GAZIOSMANPASA,0.004,2547,658756,41.0624,28.9116
GUNGOREN,0.003,1459,556519,41.0207,28.8748
KADIKOY,0.007,4450,663299,40.989,29.0337
KAGITHANE,0.006,1940,345239,41.0856,28.9817
KARTAL,0.005,1723,337390,40.9073,29.2084
KUCUKCEKMECE,0.004,1593,384668,41.0022,28.7856
MALTEPE,0.006,1681,272950,40.9256,29.1305
PENDIK,0.004,2165,593520,40.8841,29.2511
SARIYER,0.009,1910,219032,41.1649,29.0458
SILE,0.009,93,10262,41.1728,29.6139
SILIVRI,0.005,206,44530,41.0691,28.2544
SISLI,0.014,3774,270674,41.0595,28.9879
SULTANBEYLI,0.004,780,175700,40.9646,29.2732
TUZLA,0.006,666,107883,40.8268,29.3028
UMRANIYE,0.005,2155,440859,41.0345,29.1002
USKUDAR,0.005,2723,495118,41.0242,29.0199
ZEYTINBURNU,0.005,1306,247669,40.9903,28.8961
